idx,text,created_at,tm_a,tm_h,estimated_followers_count_a,estimated_followers_count_h,g_a,g_h,xg_a,xg_h,estimated_followers_count,favorite_count,retweet_count,favorite_pred,retweet_pred,favorite_diff,retweet_diff,total_diff,total_diff_frac
77,Watford (0.85) 2-1 (1.27) Norwich,2020-07-07T19:03:41Z,Norwich,Watford,700346.269872459,714413.4051176322,1,2,1.27,0.85,42935,18,3,23.97859472362254,2.5021245835314065,-5.978594723622539,0.49787541646859346,-1.5309237654654604,-0.07290113168883144
306,Arsenal (0.83) 1-2 (2.33) Wolves,2020-11-29T21:17:07Z,Wolves,Arsenal,752508.6585273119,16848938.401865274,2,1,2.33,0.83,77453,1490,59,1539.4647852331477,79.96938353274263,-49.46478523314772,-20.969383532742626,-114.50297102257841,-0.0739205752243889
266,Leicester (2.19) 1-0 (0.73) Wolves,2020-11-08T15:58:58Z,Wolves,Leicester,750615.5519847665,1757629.7923302546,0,1,0.73,2.19,70410,277,5,296.55968144289676,7.429047922635714,-19.55968144289676,-2.4290479226357142,-21.479948117334906,-0.07617002878487555
316,Man Utd (1.27) 1-3 (2.89) PSG,2020-12-02T21:53:21Z,PSG,Man United,8529481.600881938,,3,1,2.89,1.27,79684,906,66,1092.735857657253,57.19896487752712,-186.73585765725306,8.801035122472882,-75.21428920450383,-0.07738095597171175
185,Aston Villa (3.76) 7-2 (1.62) Liverpool,2020-10-04T20:10:00Z,Liverpool,Aston Villa,16133209.60605503,1497083.9880189667,2,7,1.62,3.76,58416,1050,107,1274.580824275535,96.4408074421497,-224.58082427553495,10.559192557850295,-90.56120277132602,-0.07827243109016942
417,Burnley (0.69) 0-1 (1.55) Man Utd,2021-01-12T22:14:27Z,Man United,Burnley,,539429.6073175069,1,0,1.55,0.69,100116,1446,26,1586.7153640705305,35.21105752409125,-140.71536407053054,-9.211057524091252,-120.98631191490261,-0.08219178798566754
26,Dortmund (0.56) 0-1 (0.71) Bayern Munich,2020-05-26T18:21:44Z,Bayern Munich,Dortmund,,3590482.41903776,1,0,0.71,0.56,37496,23,2,21.602706341725025,2.7142284901924514,1.3972936582749753,-0.7142284901924514,-2.068985999720236,-0.08275943998880944
399,Tottenham (2.66) 3-0 (1.32) Leeds,2021-01-02T14:20:40Z,Leeds,Tottenham,674185.8530787133,5503861.833256706,0,3,1.32,2.66,95514,1845,54,1934.9236395481819,79.88657054466623,-89.92363954818188,-25.886570544666228,-158.49850448740779,-0.08346419404286877
197,Leicester (0.65) 0-1 (0.91) Aston Villa,2020-10-18T20:13:35Z,Aston Villa,Leicester,1499572.907423163,1752884.013737671,1,0,0.91,0.65,61344,260,18,296.63702018624065,18.47742616912882,-36.63702018624065,-0.47742616912881886,-23.703685029231707,-0.08526505406198456
347,Union Berlin (1.23) 1-1 (1.21) Bayern,2020-12-12T19:29:58Z,Bayern Munich,Union Berlin,,,1,1,1.21,1.23,84008,825,10,932.3714923506121,14.042077353514417,-107.37149235061213,-4.042077353514417,-80.19568817219228,-0.09604274032597877
72,Liverpool (0.97) 2-0 (0.62) Aston Villa,2020-07-05T17:24:43Z,Aston Villa,Liverpool,1480804.0462757638,15960291.112975081,0,2,0.62,0.97,42516,26,0,25.27033213067753,0.7507498282032428,0.7296678693224692,-0.7507498282032428,-2.61386029997646,-0.10053308846063308
194,Getafe (1.84) 1-0 (0.95) Barcelona,2020-10-18T08:02:51Z,Barcelona,Getafe,34853344.464728825,,0,1,0.95,1.84,60856,497,38,571.0672277487951,40.57209510889868,-74.06722774879506,-2.5720951088986794,-54.44310764212468,-0.10176281802266296
14,Arsenal (1.53) 1-0 (1.62) West Ham ⭐️,2020-03-07T18:28:54Z,West Ham,Arsenal,1696111.1064826015,16309551.179041335,0,1,1.62,1.53,32335,13,1,14.886452310288416,1.0844701813337174,-1.8864523102884156,-0.08447018133371742,-1.4635978882776723,-0.10454270630554803
236,Wolves (1.69) 2-0 (0.87) C Palace,2020-10-30T21:57:02Z,C Palace,Wolves,1031518.7478519586,749802.7574291248,0,2,0.87,1.69,66435,309,4,353.15857955759685,5.6258596667543115,-44.15857955759685,-1.6258596667543115,-32.83376505200273,-0.10490020783387455
382,Leeds (2.28) 1-0 (1.35) Burnley,2020-12-27T13:49:57Z,Burnley,Leeds,538125.0598036101,673496.3838138996,0,1,1.35,2.28,91539,1291,48,1480.8214180787647,55.717948114413204,-189.82141807876474,-7.717948114413204,-144.09920217768217,-0.10761702925891126
412,Man Utd (0.86) 0-2 (1.45) Man City,2021-01-06T21:37:58Z,Man City,Man United,8985350.50279182,,2,0,1.45,0.86,98442,956,33,1054.2173832887215,45.559414892518696,-98.21738328872152,-12.559414892518696,-109.32981994568526,-0.11054582400979299
18,Leipzig (0.97) 3-0 (0.15) Tottenham,2020-03-10T21:51:52Z,Tottenham,RB Leipzig,5292286.252704305,201264.2661171125,0,3,0.15,0.97,32754,22,8,32.26212381916563,7.383332417702263,-10.26212381916563,0.6166675822977368,-3.59354953257824,-0.11978498441927467
116,Sheffield Utd (0.50) 0-1 (0.51) Everton,2020-07-20T18:59:18Z,Everton,Sheffield Utd,2308498.5702343574,388632.1260945042,1,0,0.51,0.5,46561,70,2,78.54904644535306,2.875209455121853,-8.549046445353056,-0.875209455121853,-8.631465210400345,-0.11988146125556035
95,Bournemouth (2.71) 4-1 (1.25) Leicester,2020-07-12T20:32:23Z,Leicester,Bournemouth,1730564.9750947403,535698.3186423327,1,4,1.25,2.71,44678,56,2,58.64716481832913,3.337147910195939,-2.6471648183291308,-1.337147910195939,-7.0002452643068604,-0.12069388386735966
161,Man Utd (1.42) 1-3 (1.89) C Palace,2020-09-19T18:27:56Z,C Palace,Man United,1026247.6634802256,,3,1,1.89,1.42,54929,384,44,486.32231556341037,41.97796702664709,-102.32231556341037,2.022032973352907,-52.58132710182275,-0.12285356799491297
403,West Brom (0.85) 0-2 (2.08) Lacazette,2021-01-02T21:54:26Z,Lacazette,West Brom,,1064713.0384875631,2,0,2.08,0.85,96141,2282,117,2678.262150437837,132.1883964813229,-396.26215043783714,-15.188396481322911,-297.0671927807501,-0.1238295926555857
